Year,Region,Station,Replicate,lat,lon,depth,substrate,Season,OLIG,TCHI,SPHA,DPOL,DBUG,DIPO,AMPH,OTHE,02O,Magnesium,MagnesiumOxide,AluminumOxide,SiliconDioxide,Quartz,PhosphorusPentoxide,Sulphur,DDT_TOTAL,P.P.TDE,P.P.DDE,P.P.DDE.1,HeptachlorEpoxide,Potassium,PotassiumOxide,Calcium,CalciumOxide,TitaniumDioxide,Chromium,Manganese,ManganeseOxide,XTR.Iron,Iron,IronOxide,Cobalt,Nickel,Copper,Zinc,Selenium,Strontium,Beryllium,Silver,Cadmium,Tin,TotalCarbon,OrganicCarbon,Carbon.Nitrogen_Ratio,TotalNitrogen,Mercury,Lead,Uranium,Va0dium,Arsenic,Chloride,Fluoride,Sand,Silt,Clay,Mean_grainsize
2007,Saginaw Bay,10,2,43.94166667,-83.62383333,11,silt ,1,318.39,3339.91,34.27,0,15.19,0,0,0,1.2,6221.4,1.7,7.5,76.4,70.4,0.1,0,1.1,0.1,0.8,5.2,0.1,2527.1,2.4,1892.5,1.3,0.4,69,2034.5,0.2,3.3,24354.6,2.8,11.9,49.9,28.7,67.3,10.6,59,0.5,0.2,1.3,5.5,0.4,1,8,0.1,154.4,40.9,0.4,38.5,1.1,23.3,402.2,52.3,14,33.4,4.5
2007,Saginaw Bay,10,2,43.94166667,-83.62383333,11,silt ,3,382.36,1927.41,35.99,0,0,0,0,0,1.2,6221.4,1.7,7.5,76.4,70.4,0.1,0,1.1,0.1,0.8,5.2,0.1,2527.1,2.4,1892.5,1.3,0.4,69,2034.5,0.2,3.3,24354.6,2.8,11.9,49.9,28.7,67.3,10.6,59,0.5,0.2,1.3,5.5,0.4,1,8,0.1,154.4,40.9,0.4,38.5,1.1,23.3,402.2,52.3,14,33.4,4.5
2007,Saginaw Bay,10,2,43.94166667,-83.62383333,11,silt ,2,421.33,275.29,0,0,0,0,0,0,1.2,6221.4,1.7,7.5,76.4,70.4,0.1,0,1.1,0.1,0.8,5.2,0.1,2527.1,2.4,1892.5,1.3,0.4,69,2034.5,0.2,3.3,24354.6,2.8,11.9,49.9,28.7,67.3,10.6,59,0.5,0.2,1.3,5.5,0.4,1,8,0.1,154.4,40.9,0.4,38.5,1.1,23.3,402.2,52.3,14,33.4,4.5
2007,Saginaw Bay,10,3,43.94166667,-83.62383333,11,silt ,3,218.36,2361.56,10.28,0,0,0,0,0,1.2,6221.4,1.7,7.5,76.4,70.4,0.1,0,1.1,0.1,0.8,5.2,0.1,2527.1,2.4,1892.5,1.3,0.4,69,2034.5,0.2,3.3,24354.6,2.8,11.9,49.9,28.7,67.3,10.6,59,0.5,0.2,1.3,5.5,0.4,1,8,0.1,154.4,40.9,0.4,38.5,1.1,23.3,402.2,52.3,14,33.4,4.5
2007,Saginaw Bay,10,3,43.94166667,-83.62383333,11,silt ,1,411.29,1473.22,25.7,0,0,0,0,0,1.2,6221.4,1.7,7.5,76.4,70.4,0.1,0,1.1,0.1,0.8,5.2,0.1,2527.1,2.4,1892.5,1.3,0.4,69,2034.5,0.2,3.3,24354.6,2.8,11.9,49.9,28.7,67.3,10.6,59,0.5,0.2,1.3,5.5,0.4,1,8,0.1,154.4,40.9,0.4,38.5,1.1,23.3,402.2,52.3,14,33.4,4.5
2007,Saginaw Bay,10,3,43.94166667,-83.62383333,11,silt ,2,547.18,261.8,3.43,0,0,0,0,0,1.2,6221.4,1.7,7.5,76.4,70.4,0.1,0,1.1,0.1,0.8,5.2,0.1,2527.1,2.4,1892.5,1.3,0.4,69,2034.5,0.2,3.3,24354.6,2.8,11.9,49.9,28.7,67.3,10.6,59,0.5,0.2,1.3,5.5,0.4,1,8,0.1,154.4,40.9,0.4,38.5,1.1,23.3,402.2,52.3,14,33.4,4.5
2007,Saginaw Bay,11,1,44.0205,-83.57366667,9,silty sand ,1,257.8,2172.23,13.71,1280.33,42751.88,0,286.69,372.03,1.1,6160.2,1.5,6.5,79.5,74.5,0.1,0,1.1,0.1,0.7,5.3,0.1,2495.2,2.2,1830.8,1.2,0.3,55.3,2076.3,0.2,2.8,24068.9,2.3,9.8,41,23.7,54.8,10.5,49.4,0.4,0.2,1.1,5.4,0.4,0.8,7.1,0.1,150.2,35.6,0.4,31.3,0.9,23.2,402.3,61,11.3,27.4,3.9
2007,Saginaw Bay,11,1,44.0205,-83.57366667,9,silty sand ,3,264.07,181.6,1.71,0,0,0,0,200.64,1.1,6160.2,1.5,6.5,79.5,74.5,0.1,0,1.1,0.1,0.7,5.3,0.1,2495.2,2.2,1830.8,1.2,0.3,55.3,2076.3,0.2,2.8,24068.9,2.3,9.8,41,23.7,54.8,10.5,49.4,0.4,0.2,1.1,5.4,0.4,0.8,7.1,0.1,150.2,35.6,0.4,31.3,0.9,23.2,402.3,61,11.3,27.4,3.9
2007,Saginaw Bay,11,1,44.0205,-83.57366667,9,silty sand ,2,528.27,2843.51,1.71,0,0,0,10.24,0,1.1,6160.2,1.5,6.5,79.5,74.5,0.1,0,1.1,0.1,0.7,5.3,0.1,2495.2,2.2,1830.8,1.2,0.3,55.3,2076.3,0.2,2.8,24068.9,2.3,9.8,41,23.7,54.8,10.5,49.4,0.4,0.2,1.1,5.4,0.4,0.8,7.1,0.1,150.2,35.6,0.4,31.3,0.9,23.2,402.3,61,11.3,27.4,3.9
2007,Saginaw Bay,11,2,44.0205,-83.57366667,9,silty sand ,1,182.56,907.99,3.43,0,0,0,10.24,14.53,1.1,6160.2,1.5,6.5,79.5,74.5,0.1,0,1.1,0.1,0.7,5.3,0.1,2495.2,2.2,1830.8,1.2,0.3,55.3,2076.3,0.2,2.8,24068.9,2.3,9.8,41,23.7,54.8,10.5,49.4,0.4,0.2,1.1,5.4,0.4,0.8,7.1,0.1,150.2,35.6,0.4,31.3,0.9,23.2,402.3,61,11.3,27.4,3.9
